Cluster 1,Cluster 2,Linkage Distance,Cluster Size
42.0,89.0,0.023734294816477597,2.0
58.0,66.0,0.02772890577635667,2.0
14.0,82.0,0.029238251392661896,2.0
12.0,99.0,0.030679769249977062,3.0
11.0,77.0,0.031388257747424375,2.0
28.0,87.0,0.035435585384962165,2.0
59.0,100.0,0.04397919179304327,3.0
5.0,48.0,0.044022775650818025,2.0
10.0,16.0,0.04534316050720588,2.0
8.0,102.0,0.04561726141475164,3.0
32.0,68.0,0.051374973360681975,2.0
49.0,61.0,0.05197159825719888,2.0
101.0,107.0,0.05815264366432035,6.0
73.0,81.0,0.05855351789736973,2.0
23.0,71.0,0.06238183050070589,2.0
50.0,98.0,0.062419940964247744,3.0
70.0,105.0,0.06272032434956593,3.0
45.0,96.0,0.06582166847081194,2.0
15.0,27.0,0.06649877013416061,2.0
36.0,114.0,0.07095353053089755,4.0
25.0,67.0,0.0713112253346837,2.0
110.0,113.0,0.07642146095791236,9.0
84.0,119.0,0.07773278326023207,10.0
34.0,80.0,0.07904171577475061,2.0
92.0,108.0,0.0790623295105971,3.0
24.0,52.0,0.09133544004663174,2.0
38.0,118.0,0.09431469246076951,3.0
109.0,111.0,0.09942123843971173,4.0
2.0,69.0,0.10122151017361103,2.0
117.0,122.0,0.10399621620464612,7.0
115.0,124.0,0.10435127359894675,5.0
106.0,120.0,0.10602303912836278,12.0
18.0,104.0,0.10786064811674478,4.0
7.0,35.0,0.10819056200925203,2.0
103.0,121.0,0.11140374624834234,4.0
44.0,46.0,0.12167026283234539,2.0
26.0,123.0,0.12223127108203974,3.0
116.0,125.0,0.1247072787876886,6.0
9.0,83.0,0.12839834328771382,2.0
51.0,128.0,0.13051055572490583,6.0
56.0,130.0,0.1405765869842406,5.0
127.0,129.0,0.1435832240013384,19.0
134.0,135.0,0.14533846513960816,9.0
62.0,112.0,0.14788562628946644,3.0
60.0,72.0,0.15414323885984038,2.0
137.0,139.0,0.15937493581510573,25.0
33.0,37.0,0.15954719739680434,2.0
54.0,132.0,0.15990260049422028,5.0
41.0,47.0,0.17988490655131462,2.0
86.0,126.0,0.18425730171926186,3.0
0.0,13.0,0.19265920878427734,2.0
43.0,140.0,0.20680497774028575,10.0
53.0,85.0,0.21166769792986162,2.0
21.0,78.0,0.21385991281437644,2.0
143.0,149.0,0.22611749764782263,35.0
141.0,145.0,0.2265671869175096,8.0
31.0,151.0,0.23106164568573295,3.0
55.0,150.0,0.23819938417525321,3.0
65.0,91.0,0.23871670434589087,2.0
57.0,138.0,0.24929246247463502,6.0
1.0,95.0,0.25104022854168173,2.0
4.0,133.0,0.2540654459011859,3.0
20.0,136.0,0.25916212238089237,3.0
90.0,147.0,0.2701540085991351,4.0
153.0,157.0,0.2732462403083654,14.0
94.0,156.0,0.28220727118238415,3.0
6.0,152.0,0.2967314534297101,36.0
131.0,164.0,0.30886393605804796,38.0
3.0,64.0,0.3148537558123363,2.0
93.0,142.0,0.31617053501831444,3.0
63.0,146.0,0.32608756162081476,3.0
144.0,148.0,0.3298697550131101,4.0
165.0,167.0,0.3407591736923913,41.0
22.0,76.0,0.352477255046842,2.0
155.0,159.0,0.356013568188712,6.0
75.0,161.0,0.36070274721613477,5.0
30.0,162.0,0.36522314572504444,15.0
168.0,169.0,0.37649906344944933,7.0
158.0,173.0,0.38135380789484563,7.0
88.0,163.0,0.40856294094499984,4.0
174.0,176.0,0.41918442002892187,22.0
170.0,175.0,0.4823479628904509,48.0
79.0,166.0,0.48821794782853917,3.0
171.0,172.0,0.49910383795285473,8.0
40.0,177.0,0.5025693140491293,5.0
19.0,39.0,0.5087811909421984,2.0
154.0,178.0,0.5148497299495195,25.0
17.0,97.0,0.5198064731358374,2.0
29.0,179.0,0.5324373194492628,49.0
180.0,186.0,0.5373059705422047,52.0
160.0,183.0,0.5689473855195066,5.0
74.0,184.0,0.6148486732792168,26.0
182.0,188.0,0.7469911498721645,10.0
181.0,187.0,0.7646487013417456,60.0
185.0,189.0,0.8104507433781448,28.0
190.0,191.0,0.8635756273016769,70.0
192.0,193.0,1.3179953712773445,98.0
