Cluster 1,Cluster 2,Linkage Distance,Cluster Size
18.0,59.0,0.7968264031083285,2.0
56.0,57.0,0.8667343178374947,2.0
53.0,75.0,0.9409580741612691,2.0
40.0,65.0,0.9922296334097318,2.0
88.0,94.0,1.0448518886786453,2.0
80.0,95.0,1.083727922580789,2.0
30.0,99.0,1.0894626913959713,3.0
91.0,101.0,1.1165212265700215,3.0
47.0,96.0,1.12337383504504,2.0
3.0,60.0,1.1366968608308368,2.0
86.0,100.0,1.16360920557753,3.0
5.0,36.0,1.1637060175986411,2.0
31.0,87.0,1.2008395347515899,2.0
74.0,104.0,1.2486568583195627,4.0
44.0,46.0,1.2606104500364936,2.0
69.0,103.0,1.3169486825540484,3.0
43.0,106.0,1.3190552381735672,3.0
102.0,105.0,1.320711314741876,5.0
67.0,68.0,1.345862076424876,2.0
41.0,63.0,1.3549911789100815,2.0
29.0,35.0,1.3790185663304781,2.0
97.0,111.0,1.3963289161562544,5.0
17.0,76.0,1.4150300055614922,2.0
84.0,109.0,1.4156882454544497,3.0
13.0,117.0,1.4167422502271338,3.0
2.0,113.0,1.4350031475934617,4.0
8.0,50.0,1.4371387870495589,2.0
9.0,70.0,1.44201717571512,2.0
92.0,114.0,1.4624829527847911,4.0
23.0,62.0,1.467244247107407,2.0
78.0,85.0,1.504705408870666,2.0
7.0,118.0,1.5209625276736713,3.0
27.0,73.0,1.5323668938479673,2.0
82.0,110.0,1.6283430713014053,3.0
52.0,125.0,1.6632641016908662,3.0
79.0,122.0,1.6729489459075373,4.0
98.0,128.0,1.704418727509827,4.0
25.0,38.0,1.7199845130557208,2.0
93.0,107.0,1.739840294956159,3.0
4.0,136.0,1.7968618935659866,4.0
14.0,19.0,1.8163246792122831,2.0
34.0,54.0,1.826127662540398,2.0
42.0,58.0,1.8350644511758079,2.0
119.0,120.0,1.9134301310103616,7.0
108.0,134.0,1.918408722591289,7.0
112.0,129.0,1.9594979453085528,5.0
51.0,124.0,2.009724522999429,3.0
48.0,83.0,2.0549794841293667,2.0
24.0,132.0,2.0637476234739363,4.0
115.0,133.0,2.144433766906109,9.0
66.0,89.0,2.198280963044425,2.0
137.0,141.0,2.206649970994023,11.0
1.0,55.0,2.2114747391760794,2.0
81.0,130.0,2.2260948546860417,3.0
6.0,116.0,2.229479513276392,3.0
131.0,139.0,2.235986245722746,5.0
123.0,127.0,2.243773927750021,6.0
126.0,135.0,2.2470974921458113,6.0
121.0,147.0,2.384680478501438,12.0
144.0,151.0,2.550236554336698,6.0
28.0,153.0,2.5504255739028645,6.0
20.0,39.0,2.619291933822106,2.0
142.0,154.0,2.6404128516747973,13.0
22.0,143.0,2.7690095679430273,6.0
138.0,150.0,2.7780499657105198,4.0
72.0,146.0,2.801273100249162,5.0
15.0,32.0,2.814967819943006,2.0
21.0,158.0,2.88220573199423,7.0
145.0,157.0,2.9046075251143484,8.0
12.0,140.0,2.932522974330385,3.0
156.0,161.0,2.9432783746329445,18.0
152.0,163.0,3.0756803955953393,8.0
71.0,165.0,3.234143924869116,8.0
64.0,155.0,3.305571834422924,7.0
149.0,162.0,3.3873264025491796,15.0
168.0,171.0,3.518181345597331,25.0
45.0,167.0,3.6759406522753655,4.0
166.0,169.0,3.765956820805923,16.0
10.0,148.0,3.7851772546202245,3.0
33.0,160.0,3.817066500624638,14.0
164.0,174.0,4.144026854500891,6.0
170.0,177.0,4.176849825138948,22.0
26.0,176.0,4.836632218848397,4.0
61.0,178.0,4.92394523705002,7.0
90.0,172.0,4.960079097814968,16.0
0.0,11.0,5.2816993425699525,2.0
173.0,182.0,5.353299635266427,41.0
49.0,180.0,5.677344178467898,5.0
159.0,175.0,6.072938611615655,18.0
183.0,185.0,7.5192837397134324,7.0
181.0,186.0,8.786514462452326,25.0
179.0,184.0,8.947173323244849,63.0
37.0,188.0,11.334940890823757,26.0
189.0,190.0,17.8966489964644,89.0
16.0,187.0,30.275016551348852,8.0
191.0,192.0,40.0195371368479,97.0
77.0,193.0,127.36860275175252,98.0
