Ticker,Missing Days,Missing Percentage
MTLN.L,1156,91.67327517842982
HLN.L,387,30.68992862807296
IAG.L,5,0.3965107057890563
GLEN.L,2,0.1586042823156225
CTEC.L,1,0.07930214115781126
DGE.L,1,0.07930214115781126
SN.L,1,0.07930214115781126
BARC.L,1,0.07930214115781126
RR.L,1,0.07930214115781126
RIO.L,1,0.07930214115781126
IMB.L,1,0.07930214115781126
CRDA.L,1,0.07930214115781126
BP.L,1,0.07930214115781126
NWG.L,0,0.0
PCT.L,0,0.0
NXT.L,0,0.0
PRU.L,0,0.0
PSH.L,0,0.0
PSN.L,0,0.0
AAF.L,0,0.0
NG.L,0,0.0
MNG.L,0,0.0
MNDI.L,0,0.0
MKS.L,0,0.0
LSEG.L,0,0.0
LMP.L,0,0.0
LLOY.L,0,0.0
LGEN.L,0,0.0
LAND.L,0,0.0
MRO.L,0,0.0
REL.L,0,0.0
PSON.L,0,0.0
SPX.L,0,0.0
WEIR.L,0,0.0
VOD.L,0,0.0
UU.L,0,0.0
ULVR.L,0,0.0
TSCO.L,0,0.0
SVT.L,0,0.0
STJ.L,0,0.0
STAN.L,0,0.0
SSE.L,0,0.0
SMT.L,0,0.0
JD.L,0,0.0
SMIN.L,0,0.0
SHEL.L,0,0.0
SGRO.L,0,0.0
SGE.L,0,0.0
SDR.L,0,0.0
SBRY.L,0,0.0
RTO.L,0,0.0
RMV.L,0,0.0
RKT.L,0,0.0
KGF.L,0,0.0
III.L,0,0.0
ITRK.L,0,0.0
CCEP.L,0,0.0
BT-A.L,0,0.0
BRBY.L,0,0.0
BNZL.L,0,0.0
BLND.L,0,0.0
BKG.L,0,0.0
BGEO.L,0,0.0
BEZ.L,0,0.0
BBOX.L,0,0.0
BATS.L,0,0.0
BAB.L,0,0.0
BA.L,0,0.0
AZN.L,0,0.0
AV.L,0,0.0
AUTO.L,0,0.0
ANTO.L,0,0.0
ALW.L,0,0.0
ADM.L,0,0.0
ABF.L,0,0.0
ABDN.L,0,0.0
BTRW.L,0,0.0
CCH.L,0,0.0
INF.L,0,0.0
CNA.L,0,0.0
IMI.L,0,0.0
AAL.L,0,0.0
IHG.L,0,0.0
IGG.L,0,0.0
ICG.L,0,0.0
HWDN.L,0,0.0
HSX.L,0,0.0
HSBA.L,0,0.0
HLMA.L,0,0.0
GSK.L,0,0.0
GAW.L,0,0.0
FRES.L,0,0.0
FCIT.L,0,0.0
EXPN.L,0,0.0
ENT.L,0,0.0
EDV.L,0,0.0
DPLM.L,0,0.0
DCC.L,0,0.0
CPG.L,0,0.0
WTB.L,0,0.0
