Ticker,Cluster,Cluster Name,Sector,Initial Normalised Value,Final Normalised Value,Total Return,Annualised Return,Annualised Volatility,Maximum Drawdown
AAL.L,1,Stable or Modest Growth,Mining,1.0,1.2317293642059128,0.23172936420591284,0.04266617825427632,0.39766654094116677,-0.5991440669695266
ABDN.L,1,Stable or Modest Growth,Financial Services,1.0,0.7193711104574021,-0.2806288895425979,-0.0638965103521546,0.3223772663579107,-0.6251010942521451
ABF.L,1,Stable or Modest Growth,Consumer Goods,1.0,0.9568923207656518,-0.04310767923434822,-0.008794539012884517,0.25417117493091174,-0.5038663859526931
ADM.L,1,Stable or Modest Growth,Insurance,1.0,1.0624649021491934,0.062464902149193424,0.01222065416013618,0.2600018344926788,-0.5307518156127018
ALW.L,1,Stable or Modest Growth,Investment Trust,1.0,1.4181316345070023,0.4181316345070023,0.07254145666318257,0.1538778686753972,-0.20690700221008052
ANTO.L,1,Stable or Modest Growth,Mining,1.0,2.1865104614064075,1.1865104614064075,0.1697924469748553,0.3737256109960854,-0.4845231622130325
AUTO.L,1,Stable or Modest Growth,Technology and Media,1.0,0.96951528050677,-0.03048471949322995,-0.006187032662279046,0.253894292754195,-0.3561748998889185
BATS.L,1,Stable or Modest Growth,Consumer Goods,1.0,1.5363153261338724,0.5363153261338724,0.08989100794679139,0.20736771828232553,-0.3741322965751187
BBOX.L,1,Stable or Modest Growth,Property,1.0,0.906364609906168,-0.09363539009383204,-0.019515643648010728,0.2644632707149296,-0.5032993328004973
BKG.L,1,Stable or Modest Growth,Housebuilding,1.0,0.8031155538729516,-0.19688444612704836,-0.043001660104176165,0.24496911678361272,-0.37304771753739274
BLND.L,1,Stable or Modest Growth,Property,1.0,0.8510566884571594,-0.14894331154284057,-0.03181350149619333,0.28239517993494817,-0.4751140948129903
BNZL.L,1,Stable or Modest Growth,Distribution,1.0,0.8215035850259939,-0.17849641497400615,-0.03864883665514374,0.22674364340852715,-0.44190524499941364
BRBY.L,1,Stable or Modest Growth,Retail,1.0,0.6983752015471187,-0.30162479845288126,-0.06943861646749083,0.37960642056819394,-0.7836264597458508
BT-A.L,1,Stable or Modest Growth,Telecommunications,1.0,1.3584161112040856,0.35841611120408556,0.0633313719922366,0.3025595631539923,-0.5017814063812106
BTRW.L,1,Stable or Modest Growth,Housebuilding,1.0,0.5879721974254797,-0.4120278025745203,-0.10099158185685764,0.29906646500443956,-0.5926037574023308
CCH.L,1,Stable or Modest Growth,Consumer Goods,1.0,1.6147424094065677,0.6147424094065677,0.10082360790621925,0.23691812971132986,-0.47539511683548175
CRDA.L,1,Stable or Modest Growth,Chemicals,1.0,0.4066930931391281,-0.5933069068608718,-0.16502961050685616,0.278055191886076,-0.7654738636523732
CTEC.L,1,Stable or Modest Growth,Healthcare,1.0,1.1852326865242593,0.18523268652425928,0.03465403288938562,0.26952315915200936,-0.364588964594758
DCC.L,1,Stable or Modest Growth,Distribution,1.0,0.8682580314613674,-0.13174196853863263,-0.02792194190199704,0.2339374115306213,-0.3903129054736819
DGE.L,1,Stable or Modest Growth,Consumer Goods,1.0,0.5446726067966435,-0.45532739320335647,-0.11467238955714099,0.21448241036877944,-0.6125695369382909
EDV.L,1,Stable or Modest Growth,Mining,1.0,1.1920029479725247,0.1920029479725247,0.035836119659691024,0.4103499779128665,-0.6154951076856416
ENT.L,1,Stable or Modest Growth,Consumer Services,1.0,0.5402513594409202,-0.4597486405590798,-0.11611772624439543,0.37918404722692695,-0.7890161285182509
