Cluster 1,Cluster 2,Linkage Distance,Cluster Size
5.0,36.0,2.0493994169188943,2.0
18.0,59.0,2.1883363705324754,2.0
91.0,94.0,2.2860564052685923,2.0
65.0,100.0,2.3333057646054005,3.0
56.0,57.0,2.506140984887184,2.0
69.0,80.0,2.9495357204674884,2.0
7.0,35.0,2.9575638083952263,2.0
14.0,82.0,3.2840479604519905,2.0
88.0,101.0,3.32146454351926,4.0
30.0,102.0,3.3216396416717613,3.0
53.0,86.0,3.5067840761898785,2.0
23.0,62.0,3.5223858912747756,2.0
28.0,87.0,3.5984152674152714,2.0
47.0,96.0,3.67586488402877,2.0
3.0,17.0,3.8118573929482724,2.0
60.0,93.0,3.891909143685068,2.0
43.0,84.0,3.9731776437357693,2.0
40.0,106.0,3.985105218190373,5.0
4.0,76.0,4.137238555284955,2.0
2.0,103.0,4.177557518804836,3.0
52.0,70.0,4.251484774918315,2.0
41.0,111.0,4.343180287034474,3.0
74.0,107.0,4.363958796120978,4.0
75.0,108.0,4.454671481630122,3.0
44.0,46.0,4.521187937644559,2.0
99.0,105.0,4.521370284398529,4.0
63.0,114.0,4.6530088995230745,3.0
34.0,110.0,4.661653305837799,3.0
95.0,117.0,4.665929658842548,4.0
27.0,73.0,4.68710851296518,2.0
98.0,104.0,4.809512303360772,4.0
92.0,119.0,4.836295280397106,4.0
97.0,120.0,4.929261654783303,5.0
29.0,115.0,5.0304368114618745,6.0
67.0,68.0,5.067490013633111,2.0
109.0,126.0,5.0878214394749595,6.0
112.0,130.0,5.176341734877171,7.0
55.0,116.0,5.367497271458475,3.0
54.0,125.0,5.393805469140429,4.0
81.0,127.0,5.401619037594179,3.0
121.0,133.0,5.452893830907629,9.0
79.0,128.0,5.475691741686431,5.0
38.0,129.0,5.504192977505388,5.0
124.0,131.0,5.535016698359215,9.0
8.0,51.0,5.636757470384405,2.0
134.0,135.0,5.821523747123411,10.0
9.0,24.0,5.837960826278049,2.0
13.0,22.0,5.839817410490728,2.0
139.0,141.0,5.876855638678103,14.0
113.0,140.0,5.886846024815535,7.0
85.0,138.0,6.114935424278836,10.0
123.0,143.0,6.358976209501,14.0
31.0,78.0,6.40159138681012,2.0
25.0,132.0,6.65429839737225,3.0
12.0,58.0,6.79454861239796,2.0
19.0,146.0,6.978387236296576,15.0
72.0,118.0,7.028773255323127,3.0
122.0,153.0,7.1100566799941145,17.0
50.0,142.0,7.195147115944795,3.0
6.0,151.0,7.52816794717739,4.0
21.0,136.0,7.649834129200598,5.0
71.0,148.0,7.676139760095187,11.0
48.0,137.0,7.716621473892199,4.0
145.0,155.0,7.717916324061114,19.0
144.0,154.0,7.733535214264443,5.0
150.0,158.0,7.762484786205522,7.0
156.0,162.0,7.942879794607123,8.0
1.0,90.0,7.971149777300909,2.0
32.0,152.0,8.081087154703129,3.0
147.0,149.0,8.119836638392018,21.0
42.0,89.0,8.157235486268618,2.0
20.0,39.0,8.475660509427593,2.0
159.0,163.0,8.971353183012113,18.0
64.0,157.0,8.977108440156771,5.0
161.0,167.0,9.141625812985092,40.0
66.0,168.0,10.240502759476819,3.0
165.0,172.0,10.365954431583912,42.0
33.0,37.0,10.560712416139525,2.0
15.0,160.0,10.575121516102723,5.0
45.0,166.0,10.950182017052319,4.0
171.0,174.0,11.043021086117799,47.0
83.0,169.0,11.45873931721582,3.0
164.0,176.0,11.735764453863451,13.0
177.0,180.0,12.866739509196796,17.0
170.0,178.0,13.042300527466752,65.0
49.0,61.0,13.245405970162956,2.0
0.0,173.0,14.641009714557931,4.0
10.0,26.0,16.17293510563188,2.0
175.0,182.0,16.590699092301193,67.0
179.0,181.0,17.530645020306107,20.0
184.0,187.0,18.70888738871126,24.0
183.0,185.0,21.782754811360714,4.0
11.0,189.0,23.671249804171193,5.0
186.0,188.0,25.006895408422338,91.0
190.0,191.0,43.687758762439856,96.0
16.0,77.0,60.79084510461931,2.0
192.0,193.0,108.71488201818738,98.0
