Cluster 1,Cluster 2,Linkage Distance,Cluster Size
5.0,36.0,2.0493994169188943,2.0
18.0,59.0,2.1883363705324754,2.0
91.0,94.0,2.2860564052685923,2.0
65.0,100.0,2.3372814160290694,3.0
56.0,57.0,2.506140984887184,2.0
69.0,80.0,2.9495357204674884,2.0
7.0,35.0,2.9575638083952263,2.0
14.0,82.0,3.2840479604519905,2.0
30.0,102.0,3.3768557607526017,3.0
53.0,86.0,3.5067840761898785,2.0
23.0,62.0,3.5223858912747756,2.0
88.0,101.0,3.5846927837228106,4.0
28.0,87.0,3.5984152674152714,2.0
47.0,96.0,3.67586488402877,2.0
3.0,17.0,3.8118573929482724,2.0
60.0,93.0,3.891909143685068,2.0
43.0,84.0,3.9731776437357693,2.0
40.0,109.0,4.074235143691812,5.0
4.0,76.0,4.137238555284955,2.0
52.0,70.0,4.251484774918315,2.0
2.0,103.0,4.401344322207173,3.0
44.0,46.0,4.521187937644559,2.0
75.0,107.0,4.66022753016723,3.0
27.0,73.0,4.68710851296518,2.0
34.0,110.0,4.710043956239047,3.0
29.0,63.0,4.757031929790436,2.0
97.0,106.0,4.854412303113236,4.0
41.0,111.0,4.863746097924395,3.0
67.0,68.0,5.067490013633111,2.0
74.0,99.0,5.13446513548732,3.0
79.0,98.0,5.2975978280603675,3.0
115.0,123.0,5.406709006864375,7.0
92.0,125.0,5.408364596635017,4.0
55.0,116.0,5.490177442148301,3.0
95.0,118.0,5.608329906053704,4.0
8.0,51.0,5.636757470384405,2.0
54.0,108.0,5.77441883167798,3.0
9.0,24.0,5.837960826278049,2.0
13.0,22.0,5.839817410490728,2.0
104.0,128.0,5.938440628795907,5.0
81.0,121.0,6.072503389190403,3.0
25.0,38.0,6.1757577898961795,2.0
112.0,124.0,6.247276705323132,6.0
31.0,78.0,6.40159138681012,2.0
127.0,131.0,6.44684619264795,6.0
6.0,114.0,6.531060837636459,3.0
85.0,132.0,6.777446081317831,5.0
12.0,58.0,6.79454861239796,2.0
130.0,139.0,6.848298011264134,6.0
120.0,144.0,7.152585440887327,8.0
129.0,137.0,7.526821171601975,12.0
72.0,117.0,7.556701822926336,3.0
140.0,142.0,7.696335549085285,12.0
105.0,141.0,7.784543982498872,4.0
32.0,48.0,7.793921921143442,2.0
1.0,90.0,7.971149777300909,2.0
21.0,122.0,8.028234860235223,4.0
50.0,149.0,8.035615478485182,4.0
42.0,89.0,8.157235486268618,2.0
19.0,148.0,8.175573503667572,13.0
20.0,39.0,8.475660509427593,2.0
64.0,143.0,8.581044705356875,4.0
113.0,119.0,8.717055327527369,4.0
133.0,135.0,8.738623560203788,4.0
134.0,147.0,8.979522383824332,11.0
138.0,152.0,9.313836423314365,5.0
155.0,161.0,9.616086161433437,8.0
33.0,71.0,9.686367611935337,2.0
146.0,160.0,9.989919685125486,10.0
126.0,159.0,10.373390267136056,6.0
136.0,153.0,10.500227320798826,4.0
15.0,83.0,10.946629120379802,2.0
66.0,156.0,11.335825270634073,3.0
151.0,154.0,11.588332355599253,8.0
45.0,145.0,11.905980257032642,3.0
150.0,162.0,12.551279311682313,23.0
49.0,61.0,13.245405970162956,2.0
157.0,166.0,13.31469227536565,23.0
163.0,164.0,13.351298818955314,13.0
167.0,175.0,14.109191810984061,29.0
171.0,173.0,14.49716890928435,31.0
0.0,170.0,14.717113947687384,4.0
10.0,26.0,16.17293510563188,2.0
37.0,165.0,17.254817895703738,3.0
168.0,178.0,17.296993448469003,35.0
172.0,176.0,18.815171773586407,16.0
169.0,179.0,20.241748924448842,6.0
181.0,182.0,22.30771118765062,38.0
11.0,174.0,23.528386638655906,3.0
177.0,183.0,25.603831995559617,45.0
158.0,184.0,30.48014676553349,8.0
180.0,186.0,31.53125370757332,5.0
187.0,188.0,37.80646097649378,53.0
185.0,190.0,50.70491468590497,91.0
16.0,189.0,57.21036025287033,6.0
191.0,192.0,103.50036067009404,97.0
77.0,193.0,152.96954043583852,98.0
