Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters,Mean Metric Rank
complete,2,2,0.8253161110271713,0.1083373976807232,52.86731470312447,1,97,1,9.333333333333334
single,2,2,0.8253161110271713,0.1083373976807232,52.86731470312447,1,97,1,9.333333333333334
average,2,2,0.8028068480721032,0.4102310046299975,79.79448273784593,2,96,0,12.333333333333334
ward,2,2,0.5077106787719301,0.843164752303183,75.95424189525635,31,67,0,21.0
ward,3,3,0.5106621400408752,0.5734448127300519,112.31051205284182,1,67,1,11.333333333333334
average,3,3,0.7273468595495487,0.14316981644964746,45.85800255911658,1,96,2,11.666666666666666
single,3,3,0.7273468595495487,0.14316981644964746,45.85800255911658,1,96,2,11.666666666666666
complete,3,3,0.6148030704593995,0.49098348368203243,76.75620927577583,1,91,1,14.0
ward,4,4,0.4770095025445495,0.6941999303296251,127.05573797979194,1,67,1,13.333333333333334
complete,4,4,0.5572605126858684,0.4086581621477382,58.773008294679144,1,91,2,14.333333333333334
average,4,4,0.5572605126858684,0.4086581621477382,58.773008294679144,1,91,2,14.333333333333334
single,4,4,0.48064695361706333,0.23045515788262805,34.32193815667673,1,95,3,16.666666666666668
