Linkage,Requested k,Smallest Cluster,Largest Cluster,Cluster Size Ratio,Singleton Clusters
ward,2,31,67,2.161290322580645,0
ward,3,1,67,67.0,1
ward,4,1,67,67.0,1
ward,5,1,34,34.0,1
ward,6,1,34,34.0,2
ward,7,1,34,34.0,2
ward,8,1,34,34.0,2
ward,9,1,34,34.0,2
ward,10,1,33,33.0,2
complete,2,1,97,97.0,1
complete,3,1,91,91.0,1
complete,4,1,91,91.0,2
complete,5,1,53,53.0,2
complete,6,1,45,45.0,2
complete,7,1,45,45.0,2
complete,8,1,45,45.0,2
complete,9,1,38,38.0,2
complete,10,1,38,38.0,3
average,2,2,96,48.0,0
average,3,1,96,96.0,2
average,4,1,91,91.0,2
average,5,1,67,67.0,2
average,6,1,67,67.0,3
average,7,1,67,67.0,3
average,8,1,67,67.0,3
average,9,1,67,67.0,3
average,10,1,65,65.0,3
single,2,1,97,97.0,1
single,3,1,96,96.0,2
single,4,1,95,95.0,3
single,5,1,94,94.0,4
single,6,1,91,91.0,4
single,7,1,90,90.0,5
single,8,1,90,90.0,6
single,9,1,90,90.0,8
single,10,1,89,89.0,9
