Linkage,k,Cluster,Cluster Size
ward,2,1,39
ward,2,2,1
ward,3,1,24
ward,3,2,15
ward,3,3,1
ward,4,1,24
ward,4,2,14
ward,4,3,1
ward,4,4,1
ward,5,1,24
ward,5,2,5
ward,5,3,9
ward,5,4,1
ward,5,5,1
ward,6,1,12
ward,6,2,12
ward,6,3,5
ward,6,4,9
ward,6,5,1
ward,6,6,1
ward,7,1,12
ward,7,2,12
ward,7,3,5
ward,7,4,5
ward,7,5,4
ward,7,6,1
ward,7,7,1
ward,8,1,12
ward,8,2,12
ward,8,3,2
ward,8,4,3
ward,8,5,5
ward,8,6,4
ward,8,7,1
ward,8,8,1
ward,9,1,12
ward,9,2,12
ward,9,3,2
ward,9,4,3
ward,9,5,5
ward,9,6,3
ward,9,7,1
ward,9,8,1
ward,9,9,1
ward,10,1,12
ward,10,2,6
ward,10,3,6
ward,10,4,2
ward,10,5,3
ward,10,6,5
ward,10,7,3
ward,10,8,1
ward,10,9,1
ward,10,10,1
complete,2,1,39
complete,2,2,1
complete,3,1,24
complete,3,2,15
complete,3,3,1
complete,4,1,24
complete,4,2,14
complete,4,3,1
complete,4,4,1
complete,5,1,24
complete,5,2,6
complete,5,3,8
complete,5,4,1
complete,5,5,1
complete,6,1,24
complete,6,2,6
complete,6,3,2
complete,6,4,6
complete,6,5,1
complete,6,6,1
complete,7,1,24
complete,7,2,5
complete,7,3,1
complete,7,4,2
complete,7,5,6
complete,7,6,1
complete,7,7,1
complete,8,1,24
complete,8,2,5
complete,8,3,1
complete,8,4,2
complete,8,5,3
complete,8,6,3
complete,8,7,1
complete,8,8,1
complete,9,1,12
complete,9,2,12
complete,9,3,5
complete,9,4,1
complete,9,5,2
complete,9,6,3
complete,9,7,3
complete,9,8,1
complete,9,9,1
complete,10,1,12
complete,10,2,12
complete,10,3,2
complete,10,4,3
complete,10,5,1
complete,10,6,2
complete,10,7,3
complete,10,8,3
complete,10,9,1
complete,10,10,1
average,2,1,39
average,2,2,1
average,3,1,38
average,3,2,1
average,3,3,1
average,4,1,24
average,4,2,14
average,4,3,1
average,4,4,1
average,5,1,24
average,5,2,2
average,5,3,12
average,5,4,1
average,5,5,1
average,6,1,24
average,6,2,2
average,6,3,11
average,6,4,1
average,6,5,1
average,6,6,1
average,7,1,24
average,7,2,2
average,7,3,3
average,7,4,8
average,7,5,1
average,7,6,1
average,7,7,1
average,8,1,24
average,8,2,2
average,8,3,3
average,8,4,3
average,8,5,5
average,8,6,1
average,8,7,1
average,8,8,1
average,9,1,12
average,9,2,12
average,9,3,2
average,9,4,3
average,9,5,3
average,9,6,5
average,9,7,1
average,9,8,1
average,9,9,1
average,10,1,12
average,10,2,12
average,10,3,2
average,10,4,3
average,10,5,3
average,10,6,2
average,10,7,3
average,10,8,1
average,10,9,1
average,10,10,1
single,2,1,39
single,2,2,1
single,3,1,38
single,3,2,1
single,3,3,1
single,4,1,37
single,4,2,1
single,4,3,1
single,4,4,1
single,5,1,3
single,5,2,34
single,5,3,1
single,5,4,1
single,5,5,1
single,6,1,3
single,6,2,24
single,6,3,10
single,6,4,1
single,6,5,1
single,6,6,1
single,7,1,3
single,7,2,24
single,7,3,9
single,7,4,1
single,7,5,1
single,7,6,1
single,7,7,1
single,8,1,3
single,8,2,24
single,8,3,8
single,8,4,1
single,8,5,1
single,8,6,1
single,8,7,1
single,8,8,1
single,9,1,2
single,9,2,1
single,9,3,24
single,9,4,8
single,9,5,1
single,9,6,1
single,9,7,1
single,9,8,1
single,9,9,1
single,10,1,2
single,10,2,1
single,10,3,24
single,10,4,5
single,10,5,3
single,10,6,1
single,10,7,1
single,10,8,1
single,10,9,1
single,10,10,1
