Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters,Silhouette Rank,Davies-Bouldin Rank,Calinski-Harabasz Rank,Mean Metric Rank
ward,2,2,0.5077106787719301,0.843164752303183,75.95424189525635,31,67,0,10.0,30.0,23.0,21.0
ward,3,3,0.5106621400408752,0.5734448127300519,112.31051205284182,1,67,1,9.0,18.0,7.0,11.333333333333334
ward,4,4,0.4770095025445495,0.6941999303296251,127.05573797979194,1,67,1,14.0,24.0,2.0,13.333333333333334
ward,5,5,0.29243086909311483,0.843601468782501,121.52815503956865,1,34,1,23.0,31.0,4.0,19.333333333333332
ward,6,6,0.2922224539281107,0.7478668954792324,127.57018634942243,1,34,2,24.0,25.0,1.0,16.666666666666668
ward,7,7,0.28281844264992445,0.8836621235986674,125.22407311012347,1,34,2,27.0,33.0,3.0,21.0
ward,8,8,0.2807972175005731,0.8980802789887425,116.96588444483983,1,34,2,29.0,35.0,6.0,23.333333333333332
ward,9,9,0.2820094901576466,0.8832612695236595,110.93426165551391,1,34,2,28.0,32.0,8.0,22.666666666666668
ward,10,10,0.20352398284321593,1.0036797567028022,107.62879636648425,1,33,2,35.0,36.0,9.0,26.666666666666668
complete,2,2,0.8253161110271713,0.1083373976807232,52.86731470312447,1,97,1,1.0,1.0,26.0,9.333333333333334
complete,3,3,0.6148030704593995,0.49098348368203243,76.75620927577583,1,91,1,6.0,15.0,21.0,14.0
complete,4,4,0.5572605126858684,0.4086581621477382,58.773008294679144,1,91,2,7.0,12.0,24.0,14.333333333333334
complete,5,5,0.2867173605677918,0.617912316654525,88.58084660926913,1,53,2,26.0,20.0,14.0,20.0
complete,6,6,0.27078384605833683,0.8019542029708568,99.32820295055521,1,45,2,30.0,28.0,12.0,23.333333333333332
complete,7,7,0.2654950578769426,0.8015019214896197,87.80038857512619,1,45,2,33.0,27.0,15.0,25.0
complete,8,8,0.26179555888306366,0.8078409858782654,82.37547393831835,1,45,2,34.0,29.0,18.0,27.0
complete,9,9,0.2670474185753257,0.8911769531326582,107.37605269028307,1,38,2,32.0,34.0,10.0,25.333333333333332
complete,10,10,0.27037318889999745,0.7751907066011144,101.36033614555599,1,38,3,31.0,26.0,11.0,22.666666666666668
average,2,2,0.8028068480721032,0.4102310046299975,79.79448273784593,2,96,0,3.0,14.0,20.0,12.333333333333334
average,3,3,0.7273468595495487,0.14316981644964746,45.85800255911658,1,96,2,4.0,3.0,28.0,11.666666666666666
average,4,4,0.5572605126858684,0.4086581621477382,58.773008294679144,1,91,2,7.0,12.0,24.0,14.333333333333334
average,5,5,0.47442387156736054,0.6091987500562778,119.13671221324645,1,67,2,15.0,19.0,5.0,13.0
average,6,6,0.4596342116734125,0.5692496208765402,99.29217839443808,1,67,3,16.0,17.0,13.0,15.333333333333334
average,7,7,0.45640739822310394,0.5245501223647187,87.04188641906723,1,67,3,17.0,16.0,16.0,16.333333333333332
average,8,8,0.42302775023783973,0.6371107410743027,84.00693088745302,1,67,3,18.0,21.0,17.0,18.666666666666668
average,9,9,0.4094489267874539,0.6467527367788082,80.70083582147937,1,67,3,21.0,22.0,19.0,20.666666666666668
average,10,10,0.28977716052078806,0.6867432240418898,76.46260573266807,1,65,3,25.0,23.0,22.0,23.333333333333332
single,2,2,0.8253161110271713,0.1083373976807232,52.86731470312447,1,97,1,1.0,1.0,26.0,9.333333333333334
single,3,3,0.7273468595495487,0.14316981644964746,45.85800255911658,1,96,2,4.0,3.0,28.0,11.666666666666666
single,4,4,0.48064695361706333,0.23045515788262805,34.32193815667673,1,95,3,13.0,6.0,31.0,16.666666666666668
single,5,5,0.49125902956364276,0.22496711948068268,31.577603942705487,1,94,4,12.0,5.0,33.0,16.666666666666668
single,6,6,0.503235552569084,0.3736237826187328,36.72437056479905,1,91,4,11.0,11.0,30.0,17.333333333333332
single,7,7,0.42248934179717357,0.36941286226495074,33.10632841580188,1,90,5,19.0,10.0,32.0,20.333333333333332
single,8,8,0.4178888664046643,0.3164362090832283,28.53822867530147,1,90,6,20.0,8.0,34.0,20.666666666666668
single,9,9,0.40093617176873453,0.25508206772614134,24.898865994580184,1,90,8,22.0,7.0,35.0,21.333333333333332
single,10,10,0.10244409573037681,0.31684138525373046,22.576479072672573,1,89,9,36.0,9.0,36.0,27.0
