Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters,Silhouette Rank,Davies-Bouldin Rank,Calinski-Harabasz Rank,Mean Metric Rank
ward,4,4,0.5065359236735822,0.46109053607815476,96.29076448467241,1,24,2,9.0,8.0,3.0,6.666666666666667
complete,4,4,0.5065359236735822,0.46109053607815476,96.29076448467241,1,24,2,9.0,8.0,3.0,6.666666666666667
average,4,4,0.5065359236735822,0.46109053607815476,96.29076448467241,1,24,2,9.0,8.0,3.0,6.666666666666667
ward,3,3,0.5194652665079011,0.5183891525197328,104.46624869283593,1,24,1,7.0,14.0,1.0,7.333333333333333
complete,3,3,0.5194652665079011,0.5183891525197328,104.46624869283593,1,24,1,7.0,14.0,1.0,7.333333333333333
ward,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1,1.0,1.0,27.0,9.666666666666666
complete,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1,1.0,1.0,27.0,9.666666666666666
average,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1,1.0,1.0,27.0,9.666666666666666
single,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1,1.0,1.0,27.0,9.666666666666666
average,5,5,0.46826499969474844,0.5177343323057986,87.53825305139314,1,24,2,12.0,13.0,17.0,14.0
average,3,3,0.546876425789422,0.2157244995839065,42.107112171882115,1,38,2,5.0,5.0,33.0,14.333333333333334
single,3,3,0.546876425789422,0.2157244995839065,42.107112171882115,1,38,2,5.0,5.0,33.0,14.333333333333334
average,6,6,0.433486490667201,0.5118579732085059,76.9206868740927,1,24,3,14.0,12.0,20.0,15.333333333333334
single,6,6,0.44695123088159894,0.5541318632825141,79.82265200979525,1,24,3,13.0,18.0,19.0,16.666666666666668
complete,5,5,0.43342117018869847,0.7043880908780149,93.30354300968649,1,24,2,15.0,27.0,9.0,17.0
average,7,7,0.4080513113181986,0.6339459923466387,73.97963756154456,1,24,3,16.0,21.0,22.0,19.666666666666668
ward,5,5,0.3970052013110668,0.7288306400653535,91.12080744187867,1,24,2,19.0,31.0,13.0,21.0
complete,7,7,0.40355490421446827,0.6856916625666918,75.58118530444243,1,24,3,18.0,24.0,21.0,21.0
average,9,9,0.29267301942095864,0.7185170751215578,93.25010786774772,1,12,3,27.0,28.0,10.0,21.666666666666668
average,8,8,0.3836328615764018,0.6364652427783801,71.1405792058561,1,24,3,20.0,22.0,24.0,22.0
ward,9,9,0.28942715819887,0.7227286868228844,93.68873299333384,1,12,3,30.0,29.0,7.0,22.0
complete,9,9,0.28942715819887,0.7227286868228844,93.68873299333384,1,12,3,30.0,29.0,7.0,22.0
single,7,7,0.36514144177907065,0.5869125585806348,67.55262096290717,1,24,4,21.0,20.0,25.0,22.0
complete,6,6,0.4048023527097449,0.7749089926738644,83.0481963724419,1,24,2,17.0,32.0,18.0,22.333333333333332
complete,10,10,0.29037370545753133,0.698596790956259,91.11344412604551,1,12,3,28.0,25.0,14.0,22.333333333333332
average,10,10,0.29037370545753133,0.698596790956259,91.11344412604551,1,12,3,28.0,25.0,14.0,22.333333333333332
single,8,8,0.3556239086009841,0.5707062573247618,62.18413182048229,1,24,5,22.0,19.0,26.0,22.333333333333332
single,4,4,0.33054518080352624,0.30190230839343335,31.8157543638016,1,37,3,26.0,7.0,35.0,22.666666666666668
ward,6,6,0.2864194143820589,0.817166461714612,94.49446844994452,1,12,2,32.0,33.0,6.0,23.666666666666668
complete,8,8,0.3311297742648841,0.6426655685827423,71.36616666576563,1,24,3,25.0,23.0,23.0,23.666666666666668
single,9,9,0.34510133699315865,0.5492088508446287,55.222331111149266,1,24,6,23.0,16.0,32.0,23.666666666666668
single,10,10,0.3336429693354414,0.5524770935217947,55.59278834844153,1,24,6,24.0,17.0,31.0,24.0
ward,8,8,0.2827652621776632,0.8508115745022681,92.83561301415469,1,12,2,33.0,34.0,11.0,26.0
single,5,5,0.2670964320671851,0.4751012660593329,29.377108702623804,1,34,3,35.0,11.0,36.0,27.333333333333332
ward,10,10,0.23282617092422528,0.8511004183557243,91.84086960074885,1,12,3,36.0,35.0,12.0,27.666666666666668
ward,7,7,0.2746281745929121,0.9119783816403156,90.94544785674093,1,12,2,34.0,36.0,16.0,28.666666666666668
