Cluster 1,Cluster 2,Linkage Distance,Cluster Size
5.0,36.0,2.0493994169188943,2.0
18.0,59.0,2.1883363705324754,2.0
91.0,94.0,2.2860564052685923,2.0
65.0,100.0,2.329330113181731,3.0
56.0,57.0,2.506140984887184,2.0
69.0,80.0,2.9495357204674884,2.0
7.0,35.0,2.9575638083952263,2.0
88.0,101.0,3.0270003549262676,4.0
30.0,102.0,3.2664235225909204,3.0
14.0,82.0,3.2840479604519905,2.0
62.0,103.0,3.3654543805650614,3.0
53.0,86.0,3.5067840761898785,2.0
23.0,108.0,3.5223858912747756,4.0
28.0,87.0,3.5984152674152714,2.0
47.0,96.0,3.67586488402877,2.0
95.0,110.0,3.72276496895568,5.0
99.0,107.0,3.795952817773357,4.0
3.0,17.0,3.8118573929482724,2.0
41.0,112.0,3.8226144761445533,3.0
40.0,105.0,3.85202270487893,5.0
74.0,115.0,3.8864885773999736,3.0
60.0,93.0,3.891909143685068,2.0
106.0,118.0,3.907766021336414,6.0
2.0,113.0,3.953770715402499,6.0
43.0,84.0,3.9731776437357693,2.0
114.0,120.0,4.043571421833701,10.0
76.0,123.0,4.070671786922543,11.0
63.0,117.0,4.096331310938236,6.0
109.0,121.0,4.1074269049487055,8.0
92.0,116.0,4.117518990693483,4.0
98.0,104.0,4.120325265375009,4.0
4.0,124.0,4.137238555284955,12.0
75.0,126.0,4.2491154330930145,9.0
52.0,70.0,4.251484774918315,2.0
79.0,125.0,4.2727035732450185,7.0
119.0,127.0,4.302140042440847,6.0
44.0,128.0,4.341968948333313,5.0
54.0,111.0,4.348382285507351,3.0
29.0,132.0,4.420221041368895,8.0
129.0,133.0,4.427321922028919,18.0
38.0,137.0,4.437456154726575,19.0
122.0,136.0,4.444554763157356,10.0
55.0,138.0,4.496353953713293,20.0
46.0,134.0,4.521187937644559,6.0
34.0,135.0,4.613262655436552,4.0
139.0,141.0,4.651536757885523,16.0
85.0,130.0,4.655368599411075,10.0
27.0,73.0,4.68710851296518,2.0
140.0,144.0,4.689159109113173,30.0
97.0,146.0,4.724077580627663,31.0
81.0,145.0,4.730734685997955,3.0
142.0,147.0,4.951956321311712,35.0
143.0,149.0,4.967643394823931,51.0
131.0,150.0,5.040061287374839,53.0
67.0,68.0,5.067490013633111,2.0
25.0,151.0,5.237589650730483,54.0
13.0,153.0,5.411514478447754,55.0
78.0,154.0,5.454050572067042,56.0
8.0,51.0,5.636757470384405,2.0
19.0,155.0,5.706409548764351,57.0
71.0,157.0,5.81700103261558,58.0
9.0,24.0,5.837960826278049,2.0
22.0,158.0,5.839817410490728,59.0
152.0,160.0,5.90584008931075,61.0
1.0,161.0,6.028929383159725,62.0
50.0,156.0,6.064902788941382,3.0
6.0,162.0,6.148111694931755,63.0
31.0,164.0,6.40159138681012,64.0
159.0,163.0,6.451172367193616,5.0
72.0,165.0,6.500844687719918,65.0
166.0,167.0,6.761697172573055,70.0
12.0,58.0,6.79454861239796,2.0
168.0,169.0,6.795335264340186,72.0
21.0,170.0,6.820617901780252,73.0
148.0,171.0,6.823605746378796,76.0
32.0,172.0,6.869130130776886,77.0
33.0,173.0,6.9020614795875534,78.0
48.0,174.0,7.481504200441852,79.0
90.0,175.0,7.763493978542668,80.0
45.0,176.0,7.906637060297721,81.0
64.0,177.0,7.929649245208144,82.0
42.0,89.0,8.157235486268618,2.0
15.0,179.0,8.409468594930315,3.0
20.0,39.0,8.475660509427593,2.0
178.0,180.0,8.481769091954115,85.0
83.0,181.0,8.630715406071056,3.0
66.0,182.0,9.145180248319566,86.0
183.0,184.0,10.274205722954115,89.0
37.0,185.0,10.560712416139525,90.0
49.0,61.0,13.245405970162956,2.0
10.0,187.0,13.79615572435196,3.0
0.0,186.0,14.534642752617493,91.0
188.0,189.0,15.26572298482036,94.0
26.0,190.0,16.17293510563188,95.0
11.0,191.0,16.543159934495215,96.0
16.0,192.0,41.21544576345789,97.0
77.0,193.0,60.79084510461931,98.0
