Ticker,Cluster
AAL.L,1
ABDN.L,1
ABF.L,1
ADM.L,1
ALW.L,1
ANTO.L,1
AUTO.L,1
BATS.L,1
BBOX.L,1
BKG.L,1
BLND.L,1
BNZL.L,1
BRBY.L,1
BT-A.L,1
BTRW.L,1
CCH.L,1
CRDA.L,1
CTEC.L,1
DCC.L,1
DGE.L,1
EDV.L,1
ENT.L,1
EXPN.L,1
FCIT.L,1
FRES.L,1
GAW.L,1
GSK.L,1
HLMA.L,1
HSX.L,1
HWDN.L,1
ICG.L,1
IGG.L,1
ITRK.L,1
JD.L,1
KGF.L,1
LAND.L,1
LGEN.L,1
LMP.L,1
LSEG.L,1
MNDI.L,1
MNG.L,1
MRO.L,1
NG.L,1
NXT.L,1
PCT.L,1
PRU.L,1
PSN.L,1
RIO.L,1
RKT.L,1
RMV.L,1
RTO.L,1
SBRY.L,1
SDR.L,1
SGRO.L,1
SMIN.L,1
SMT.L,1
SN.L,1
SPX.L,1
SSE.L,1
STJ.L,1
SVT.L,1
TSCO.L,1
ULVR.L,1
UU.L,1
VOD.L,1
WEIR.L,1
WTB.L,1
AAF.L,2
AV.L,2
AZN.L,2
BA.L,2
BAB.L,2
BARC.L,2
BEZ.L,2
BGEO.L,2
BP.L,2
CCEP.L,2
CNA.L,2
CPG.L,2
DPLM.L,2
GLEN.L,2
HSBA.L,2
IAG.L,2
IHG.L,2
III.L,2
IMB.L,2
IMI.L,2
INF.L,2
LLOY.L,2
MKS.L,2
NWG.L,2
PSH.L,2
PSON.L,2
REL.L,2
SGE.L,2
SHEL.L,2
STAN.L,2
RR.L,3
