Cluster 1,Cluster 2,Merge Distance,Observations in New Cluster
5.0,36.0,2.0493994169188943,2.0
18.0,59.0,2.1883363705324754,2.0
91.0,94.0,2.2860564052685923,2.0
65.0,100.0,2.3488488314995624,3.0
56.0,57.0,2.506140984887184,2.0
69.0,80.0,2.9495357204674884,2.0
7.0,35.0,2.9575638083952263,2.0
14.0,82.0,3.2840479604519905,2.0
53.0,86.0,3.5067840761898785,2.0
23.0,62.0,3.5223858912747756,2.0
30.0,102.0,3.552680315836449,3.0
28.0,87.0,3.5984152674152714,2.0
47.0,96.0,3.67586488402877,2.0
88.0,101.0,3.7337502413920096,4.0
3.0,17.0,3.8118573929482724,2.0
60.0,93.0,3.891909143685068,2.0
43.0,84.0,3.9731776437357693,2.0
4.0,76.0,4.137238555284955,2.0
52.0,70.0,4.251484774918315,2.0
40.0,63.0,4.491660111462526,2.0
2.0,103.0,4.520638172459199,3.0
44.0,46.0,4.521187937644559,2.0
41.0,110.0,4.583478752758778,3.0
27.0,73.0,4.68710851296518,2.0
74.0,75.0,4.721784304579992,2.0
34.0,109.0,4.966045387050332,3.0
67.0,68.0,5.067490013633111,2.0
95.0,118.0,5.124568857965555,4.0
29.0,117.0,5.153062303462126,3.0
92.0,120.0,5.185294188835622,4.0
55.0,108.0,5.311136112777506,4.0
85.0,106.0,5.3738176745515025,3.0
97.0,112.0,5.554717982025425,3.0
8.0,51.0,5.636757470384405,2.0
81.0,121.0,5.6727803280154,3.0
79.0,98.0,5.70621078220218,3.0
99.0,105.0,5.802529531294297,4.0
9.0,24.0,5.837960826278049,2.0
13.0,22.0,5.839817410490728,2.0
111.0,126.0,5.921517259963301,7.0
54.0,123.0,5.922011997101735,4.0
78.0,122.0,5.932575268440074,3.0
38.0,127.0,6.07319260684322,5.0
25.0,114.0,6.6208776928277695,3.0
104.0,119.0,6.68373557440235,4.0
107.0,125.0,6.71153154907692,6.0
113.0,115.0,6.729897301447785,4.0
12.0,58.0,6.79454861239796,2.0
6.0,141.0,7.5308071465777155,4.0
1.0,31.0,7.553051659449751,2.0
50.0,72.0,7.588791321205477,2.0
19.0,137.0,7.65758362960346,8.0
32.0,48.0,7.793921921143442,2.0
128.0,130.0,7.817258416362921,7.0
129.0,143.0,8.033924421778089,9.0
42.0,89.0,8.157235486268618,2.0
116.0,148.0,8.462981086366902,4.0
20.0,39.0,8.475660509427593,2.0
71.0,152.0,8.788217702620223,10.0
131.0,135.0,8.796299621012585,4.0
140.0,144.0,8.889436993022818,9.0
21.0,138.0,8.913856885602344,5.0
133.0,142.0,9.013792143177271,7.0
139.0,151.0,9.32487801587872,10.0
64.0,146.0,9.498145793074693,5.0
90.0,147.0,9.916263019815176,3.0
132.0,150.0,10.21421624676581,5.0
134.0,163.0,10.438446896354424,7.0
136.0,149.0,10.524782267083031,10.0
33.0,37.0,10.560712416139525,2.0
154.0,157.0,10.586923423032951,8.0
124.0,162.0,10.631954239186385,7.0
66.0,153.0,10.91985991825232,3.0
15.0,83.0,10.946629120379802,2.0
45.0,145.0,10.990430081393688,3.0
160.0,169.0,12.685974021009041,14.0
49.0,61.0,13.245405970162956,2.0
161.0,165.0,13.592252258291248,17.0
164.0,171.0,15.731613775708261,7.0
10.0,26.0,16.17293510563188,2.0
0.0,170.0,16.586193087876435,4.0
156.0,159.0,17.462857346745892,15.0
166.0,173.0,18.61429162349805,24.0
172.0,178.0,22.565933119101654,7.0
158.0,180.0,22.606965709342735,33.0
167.0,179.0,23.207035366650356,17.0
11.0,174.0,24.182939169837535,3.0
168.0,176.0,26.68064133139459,15.0
175.0,183.0,27.911687334158962,34.0
155.0,185.0,27.962695939852402,17.0
177.0,184.0,29.85498650705684,5.0
181.0,187.0,42.25595719037413,24.0
16.0,188.0,58.497778845177436,6.0
182.0,186.0,60.73902419622692,67.0
189.0,190.0,99.2411974251102,30.0
77.0,192.0,160.8294866784108,31.0
191.0,193.0,209.201214992355,98.0
