Ticker,Principal Component 1,Principal Component 2,Cluster
AAL.L,-10.554007365197851,-1.653018406676503,1
ABDN.L,-19.413440452721627,6.555095880810914,1
ABF.L,-10.472240077924893,2.272101398453852,1
ADM.L,-10.41942358566829,4.846998500777184,1
ALW.L,-1.3833862990028307,-1.9511484824837613,1
ANTO.L,-1.6539927539434436,2.372412807011842,1
AUTO.L,-3.399546911993268,-0.764391389053918,1
BATS.L,-4.936703623880203,0.8873229725823126,1
BBOX.L,-12.29216784531184,-0.8198394201866982,1
BKG.L,-12.945694443126937,0.8527683999616779,1
BLND.L,-14.51979245584342,1.7099749994246505,1
BNZL.L,-6.5658664720830595,-5.25821646168563,1
BRBY.L,-17.58497297501957,-1.866268138707463,1
BT-A.L,-5.14640978571166,0.9316669471391009,1
BTRW.L,-17.686992410853133,3.583294941433119,1
CCH.L,-2.0936560811884792,4.341923630308391,1
CRDA.L,-20.08228388354022,-1.6304424701345386,1
CTEC.L,-4.98096101886261,-1.7206380935069339,1
DCC.L,-10.769998519352898,-0.07652492219536766,1
DGE.L,-13.918066095471886,-5.938037222548902,1
EDV.L,-18.427891074310626,10.551214145159069,1
ENT.L,-19.406396381811685,0.8234753735301241,1
EXPN.L,-4.381174182522163,0.3487209531105899,1
FCIT.L,-0.515979815160131,-1.4994174674836516,1
FRES.L,-11.017389378094151,14.654688619553221,1
GAW.L,-5.889383383285654,6.81674774264355,1
GSK.L,-6.849732965930755,-1.868879873060809,1
HLMA.L,-6.908289207873067,3.7450565233382616,1
HSX.L,-4.589125111416379,0.5815928646271522,1
HWDN.L,-5.274001350866904,-0.4801620584635459,1
ICG.L,-6.016041153762845,2.7668256888084235,1
IGG.L,-7.566968061063329,4.466471131316695,1
ITRK.L,-14.637237702669907,4.5257042617031065,1
JD.L,-18.040857412821122,0.09426684259892305,1
KGF.L,-10.038346855884114,1.6176742298789126,1
LAND.L,-11.432759621229335,-0.6697872518884254,1
LGEN.L,-11.326576382212494,0.6559429408173065,1
LMP.L,-14.03494203213172,1.7322405147632685,1
LSEG.L,-8.469055456115397,2.4121718123796065,1
MNDI.L,-18.31818875662174,1.2757524059565883,1
MNG.L,-5.738323720596226,0.6184614400798655,1
MRO.L,-2.397689389646178,1.793274426136839,1
NG.L,-4.88525929472832,-3.5107119966388627,1
NXT.L,3.235522189529016,3.318016107577953,1
PCT.L,1.3507744941449111,4.160596183333207,1
PRU.L,-18.190567216909333,4.509535551343462,1
PSN.L,-22.689589039652617,7.116923388385369,1
RIO.L,-12.727577883263944,0.7248690387432914,1
RKT.L,-15.043858432099496,2.4710702236210302,1
RMV.L,-10.069308966967032,2.7644498059370175,1
RTO.L,-14.521990509894518,-1.3872687445421372,1
SBRY.L,-3.1266633764707206,-1.6261364489676557,1
SDR.L,-18.087354162165123,3.257417807382986,1
SGRO.L,-15.038959136414125,-0.4363621174125554,1
SMIN.L,-2.6285854984747004,1.3815836188020139,1
SMT.L,-15.299152273764012,7.101844876441908,1
SN.L,-16.45759147235258,5.398189773996534,1
SPX.L,-17.606365797617293,-0.7984020758285008,1
SSE.L,-5.464540694373252,-2.0881789421471857,1
STJ.L,-12.491259405557415,2.729108375345483,1
SVT.L,-6.215225274776661,-3.3419012157919585,1
TSCO.L,-4.562840517768437,4.515535310493822,1
ULVR.L,-9.749939676197846,2.049122047482759,1
UU.L,-4.635219378192541,-2.3293218788697576,1
VOD.L,-18.467740795121518,4.1467155376198095,1
WEIR.L,-7.097519587407929,4.681042576181792,1
WTB.L,-9.798952256048079,-0.8528514235877028,1
AAF.L,22.10917244620909,-3.5802674175154197,2
AV.L,7.73043449937565,-2.8851939420351114,2
AZN.L,4.4498326760790246,-7.906041273532289,2
BA.L,40.17531014919798,-7.946158019723294,2
BAB.L,35.21974560961745,8.273766361570718,2
BARC.L,14.321104908666378,4.457570549370687,2
BEZ.L,18.655057279132766,-6.851500704554735,2
BGEO.L,79.50723724121916,-3.4263281179751113,2
BP.L,8.8889086259785,-16.52301851798314,2
CCEP.L,6.9511167592501995,-6.511016042292462,2
CNA.L,43.8361401291082,-19.659377737512703,2
CPG.L,12.02274461671096,-7.083818185668211,2
DPLM.L,14.525672762427714,-2.2625413197806874,2
GLEN.L,4.569662859415434,-20.052140821338398,2
HSBA.L,18.887352664182075,-3.976759676384928,2
IAG.L,10.902784319880544,7.838689670923113,2
IHG.L,11.922003998709616,-1.6525118025243786,2
III.L,36.02287890982151,-1.68727615873518,2
IMB.L,6.432827742875759,-0.06080345369107266,2
IMI.L,5.810077432876036,-2.2300105162374817,2
INF.L,3.4192600677577016,-3.0838547165730956,2
LLOY.L,13.231454589157282,-1.2748789993067715,2
MKS.L,25.869919939691517,-3.392562477746087,2
NWG.L,26.60091191607021,-0.5588790629906348,2
PSH.L,3.207550457275695,-0.8475855361800978,2
PSON.L,4.416477503268006,-4.6145067792510615,2
REL.L,12.279531619665242,-6.786492611561594,2
SGE.L,13.025954572775875,-7.619222019536952,2
SHEL.L,16.226982323473667,-14.727210511345033,2
STAN.L,22.531168606456,1.9172864048640623,2
RR.L,128.61643918894222,29.12068732011701,3
