Ticker,K-Means Cluster,Hierarchical Cluster,Mapped Hierarchical Cluster,Same Pattern Assignment
AAL.L,1,1,1,True
ABDN.L,1,1,1,True
ABF.L,1,1,1,True
ADM.L,1,1,1,True
ALW.L,1,1,1,True
ANTO.L,1,1,1,True
AUTO.L,1,1,1,True
BATS.L,1,1,1,True
BBOX.L,1,1,1,True
BKG.L,1,1,1,True
BLND.L,1,1,1,True
BNZL.L,1,1,1,True
BRBY.L,1,1,1,True
BT-A.L,1,1,1,True
BTRW.L,1,1,1,True
CCH.L,1,1,1,True
CRDA.L,1,1,1,True
CTEC.L,1,1,1,True
DCC.L,1,1,1,True
DGE.L,1,1,1,True
EDV.L,1,1,1,True
ENT.L,1,1,1,True
EXPN.L,1,1,1,True
FCIT.L,1,1,1,True
FRES.L,1,1,1,True
GAW.L,1,1,1,True
GSK.L,1,1,1,True
HLMA.L,1,1,1,True
HSX.L,1,1,1,True
HWDN.L,1,1,1,True
ICG.L,1,1,1,True
IGG.L,1,1,1,True
ITRK.L,1,1,1,True
JD.L,1,1,1,True
KGF.L,1,1,1,True
LAND.L,1,1,1,True
LGEN.L,1,1,1,True
LMP.L,1,1,1,True
LSEG.L,1,1,1,True
MNDI.L,1,1,1,True
MNG.L,1,1,1,True
MRO.L,1,1,1,True
NG.L,1,1,1,True
NXT.L,1,1,1,True
PCT.L,1,1,1,True
PRU.L,1,1,1,True
PSH.L,1,2,3,False
PSN.L,1,1,1,True
RIO.L,1,1,1,True
RKT.L,1,1,1,True
RMV.L,1,1,1,True
RTO.L,1,1,1,True
SBRY.L,1,1,1,True
SDR.L,1,1,1,True
SGRO.L,1,1,1,True
SMIN.L,1,1,1,True
SMT.L,1,1,1,True
SN.L,1,1,1,True
SPX.L,1,1,1,True
SSE.L,1,1,1,True
STJ.L,1,1,1,True
SVT.L,1,1,1,True
TSCO.L,1,1,1,True
ULVR.L,1,1,1,True
UU.L,1,1,1,True
VOD.L,1,1,1,True
WEIR.L,1,1,1,True
WTB.L,1,1,1,True
BGEO.L,2,2,3,False
RR.L,2,3,2,True
AAF.L,3,2,3,True
AV.L,3,2,3,True
AZN.L,3,2,3,True
BA.L,3,2,3,True
BAB.L,3,2,3,True
BARC.L,3,2,3,True
BEZ.L,3,2,3,True
BP.L,3,2,3,True
CCEP.L,3,2,3,True
CNA.L,3,2,3,True
CPG.L,3,2,3,True
DPLM.L,3,2,3,True
GLEN.L,3,2,3,True
HSBA.L,3,2,3,True
IAG.L,3,2,3,True
IHG.L,3,2,3,True
III.L,3,2,3,True
IMB.L,3,2,3,True
IMI.L,3,2,3,True
INF.L,3,2,3,True
LLOY.L,3,2,3,True
MKS.L,3,2,3,True
NWG.L,3,2,3,True
PSON.L,3,2,3,True
REL.L,3,2,3,True
SGE.L,3,2,3,True
SHEL.L,3,2,3,True
STAN.L,3,2,3,True
