Ticker,Cluster,k
AAL.L,1,4
ABDN.L,1,4
ABF.L,1,4
ADM.L,1,4
ALW.L,1,4
ANTO.L,1,4
AUTO.L,1,4
BATS.L,1,4
BBOX.L,1,4
BKG.L,1,4
BLND.L,1,4
BNZL.L,1,4
BRBY.L,1,4
BT-A.L,1,4
BTRW.L,1,4
CCH.L,1,4
CRDA.L,1,4
CTEC.L,1,4
DCC.L,1,4
DGE.L,1,4
EDV.L,1,4
ENT.L,1,4
EXPN.L,1,4
FCIT.L,1,4
FRES.L,1,4
GAW.L,1,4
GSK.L,1,4
HLMA.L,1,4
HSX.L,1,4
HWDN.L,1,4
ICG.L,1,4
IGG.L,1,4
ITRK.L,1,4
JD.L,1,4
KGF.L,1,4
LAND.L,1,4
LGEN.L,1,4
LMP.L,1,4
LSEG.L,1,4
MNDI.L,1,4
MNG.L,1,4
MRO.L,1,4
NG.L,1,4
PCT.L,1,4
PRU.L,1,4
PSN.L,1,4
RIO.L,1,4
RKT.L,1,4
RMV.L,1,4
RTO.L,1,4
SBRY.L,1,4
SDR.L,1,4
SGRO.L,1,4
SMIN.L,1,4
SMT.L,1,4
SN.L,1,4
SPX.L,1,4
SSE.L,1,4
STJ.L,1,4
SVT.L,1,4
TSCO.L,1,4
ULVR.L,1,4
UU.L,1,4
VOD.L,1,4
WEIR.L,1,4
WTB.L,1,4
AAF.L,2,4
AV.L,2,4
AZN.L,2,4
BARC.L,2,4
BEZ.L,2,4
BP.L,2,4
CCEP.L,2,4
CPG.L,2,4
DPLM.L,2,4
GLEN.L,2,4
HSBA.L,2,4
IAG.L,2,4
IHG.L,2,4
IMB.L,2,4
IMI.L,2,4
INF.L,2,4
LLOY.L,2,4
MKS.L,2,4
NWG.L,2,4
NXT.L,2,4
PSH.L,2,4
PSON.L,2,4
REL.L,2,4
SGE.L,2,4
SHEL.L,2,4
STAN.L,2,4
RR.L,3,4
BA.L,4,4
BAB.L,4,4
BGEO.L,4,4
CNA.L,4,4
III.L,4,4
