Ticker,Cluster
AAL.L,1
ABDN.L,1
ABF.L,1
ADM.L,1
ALW.L,1
ANTO.L,1
AUTO.L,1
BATS.L,1
BBOX.L,1
BKG.L,1
BLND.L,1
BNZL.L,1
BRBY.L,1
BT-A.L,1
BTRW.L,1
CCH.L,1
CRDA.L,1
CTEC.L,1
DCC.L,1
DGE.L,1
EDV.L,1
ENT.L,1
EXPN.L,1
FCIT.L,1
FRES.L,1
GAW.L,1
GSK.L,1
HLMA.L,1
HSX.L,1
HWDN.L,1
ICG.L,1
IGG.L,1
ITRK.L,1
JD.L,1
KGF.L,1
LAND.L,1
LGEN.L,1
LMP.L,1
LSEG.L,1
MNDI.L,1
MNG.L,1
MRO.L,1
NG.L,1
NXT.L,1
PCT.L,1
PRU.L,1
PSH.L,1
PSN.L,1
RIO.L,1
RKT.L,1
RMV.L,1
RTO.L,1
SBRY.L,1
SDR.L,1
SGRO.L,1
SMIN.L,1
SMT.L,1
SN.L,1
SPX.L,1
SSE.L,1
STJ.L,1
SVT.L,1
TSCO.L,1
ULVR.L,1
UU.L,1
VOD.L,1
WEIR.L,1
WTB.L,1
BGEO.L,2
RR.L,2
AAF.L,3
AV.L,3
AZN.L,3
BA.L,3
BAB.L,3
BARC.L,3
BEZ.L,3
BP.L,3
CCEP.L,3
CNA.L,3
CPG.L,3
DPLM.L,3
GLEN.L,3
HSBA.L,3
IAG.L,3
IHG.L,3
III.L,3
IMB.L,3
IMI.L,3
INF.L,3
LLOY.L,3
MKS.L,3
NWG.L,3
PSON.L,3
REL.L,3
SGE.L,3
SHEL.L,3
STAN.L,3
