Ticker,Cluster,k
AAL.L,1,3
ABDN.L,1,3
ABF.L,1,3
ADM.L,1,3
ALW.L,1,3
ANTO.L,1,3
AUTO.L,1,3
BATS.L,1,3
BBOX.L,1,3
BKG.L,1,3
BLND.L,1,3
BNZL.L,1,3
BRBY.L,1,3
BT-A.L,1,3
BTRW.L,1,3
CCH.L,1,3
CRDA.L,1,3
CTEC.L,1,3
DCC.L,1,3
DGE.L,1,3
EDV.L,1,3
ENT.L,1,3
EXPN.L,1,3
FCIT.L,1,3
FRES.L,1,3
GAW.L,1,3
GSK.L,1,3
HLMA.L,1,3
HSX.L,1,3
HWDN.L,1,3
ICG.L,1,3
IGG.L,1,3
ITRK.L,1,3
JD.L,1,3
KGF.L,1,3
LAND.L,1,3
LGEN.L,1,3
LMP.L,1,3
LSEG.L,1,3
MNDI.L,1,3
MNG.L,1,3
MRO.L,1,3
NG.L,1,3
NXT.L,1,3
PCT.L,1,3
PRU.L,1,3
PSH.L,1,3
PSN.L,1,3
RIO.L,1,3
RKT.L,1,3
RMV.L,1,3
RTO.L,1,3
SBRY.L,1,3
SDR.L,1,3
SGRO.L,1,3
SMIN.L,1,3
SMT.L,1,3
SN.L,1,3
SPX.L,1,3
SSE.L,1,3
STJ.L,1,3
SVT.L,1,3
TSCO.L,1,3
ULVR.L,1,3
UU.L,1,3
VOD.L,1,3
WEIR.L,1,3
WTB.L,1,3
BGEO.L,2,3
RR.L,2,3
AAF.L,3,3
AV.L,3,3
AZN.L,3,3
BA.L,3,3
BAB.L,3,3
BARC.L,3,3
BEZ.L,3,3
BP.L,3,3
CCEP.L,3,3
CNA.L,3,3
CPG.L,3,3
DPLM.L,3,3
GLEN.L,3,3
HSBA.L,3,3
IAG.L,3,3
IHG.L,3,3
III.L,3,3
IMB.L,3,3
IMI.L,3,3
INF.L,3,3
LLOY.L,3,3
MKS.L,3,3
NWG.L,3,3
PSON.L,3,3
REL.L,3,3
SGE.L,3,3
SHEL.L,3,3
STAN.L,3,3
ALW.L,1,5
ANTO.L,1,5
AUTO.L,1,5
BATS.L,1,5
BNZL.L,1,5
BT-A.L,1,5
CCH.L,1,5
CTEC.L,1,5
EXPN.L,1,5
FCIT.L,1,5
GAW.L,1,5
GSK.L,1,5
HLMA.L,1,5
HSX.L,1,5
HWDN.L,1,5
ICG.L,1,5
IGG.L,1,5
INF.L,1,5
LSEG.L,1,5
MNG.L,1,5
MRO.L,1,5
NG.L,1,5
NXT.L,1,5
PCT.L,1,5
PSH.L,1,5
SBRY.L,1,5
SMIN.L,1,5
SSE.L,1,5
SVT.L,1,5
TSCO.L,1,5
ULVR.L,1,5
UU.L,1,5
WEIR.L,1,5
WTB.L,1,5
RR.L,2,5
BA.L,3,5
BAB.L,3,5
BGEO.L,3,5
CNA.L,3,5
III.L,3,5
AAL.L,4,5
ABDN.L,4,5
ABF.L,4,5
ADM.L,4,5
BBOX.L,4,5
BKG.L,4,5
BLND.L,4,5
BRBY.L,4,5
BTRW.L,4,5
CRDA.L,4,5
DCC.L,4,5
DGE.L,4,5
EDV.L,4,5
ENT.L,4,5
FRES.L,4,5
ITRK.L,4,5
JD.L,4,5
KGF.L,4,5
LAND.L,4,5
LGEN.L,4,5
LMP.L,4,5
MNDI.L,4,5
PRU.L,4,5
PSN.L,4,5
RIO.L,4,5
RKT.L,4,5
RMV.L,4,5
RTO.L,4,5
SDR.L,4,5
SGRO.L,4,5
SMT.L,4,5
SN.L,4,5
SPX.L,4,5
STJ.L,4,5
VOD.L,4,5
AAF.L,5,5
AV.L,5,5
AZN.L,5,5
BARC.L,5,5
BEZ.L,5,5
BP.L,5,5
CCEP.L,5,5
CPG.L,5,5
DPLM.L,5,5
GLEN.L,5,5
HSBA.L,5,5
IAG.L,5,5
IHG.L,5,5
IMB.L,5,5
IMI.L,5,5
LLOY.L,5,5
MKS.L,5,5
NWG.L,5,5
PSON.L,5,5
REL.L,5,5
SGE.L,5,5
SHEL.L,5,5
STAN.L,5,5
ALW.L,1,7
ANTO.L,1,7
AUTO.L,1,7
BATS.L,1,7
BNZL.L,1,7
BT-A.L,1,7
CCH.L,1,7
CTEC.L,1,7
EXPN.L,1,7
FCIT.L,1,7
GAW.L,1,7
GSK.L,1,7
HLMA.L,1,7
HSX.L,1,7
HWDN.L,1,7
ICG.L,1,7
IGG.L,1,7
LSEG.L,1,7
MNG.L,1,7
MRO.L,1,7
NG.L,1,7
NXT.L,1,7
PCT.L,1,7
PSH.L,1,7
SBRY.L,1,7
SMIN.L,1,7
SSE.L,1,7
SVT.L,1,7
TSCO.L,1,7
UU.L,1,7
WEIR.L,1,7
BA.L,2,7
BAB.L,2,7
CNA.L,2,7
III.L,2,7
MKS.L,2,7
RR.L,3,7
