Ticker,Cluster,k
ALW.L,1,5
ANTO.L,1,5
AUTO.L,1,5
BATS.L,1,5
BNZL.L,1,5
BT-A.L,1,5
CCH.L,1,5
CTEC.L,1,5
EXPN.L,1,5
FCIT.L,1,5
GAW.L,1,5
GSK.L,1,5
HLMA.L,1,5
HSX.L,1,5
HWDN.L,1,5
ICG.L,1,5
IGG.L,1,5
INF.L,1,5
LSEG.L,1,5
MNG.L,1,5
MRO.L,1,5
NG.L,1,5
NXT.L,1,5
PCT.L,1,5
PSH.L,1,5
SBRY.L,1,5
SMIN.L,1,5
SSE.L,1,5
SVT.L,1,5
TSCO.L,1,5
ULVR.L,1,5
UU.L,1,5
WEIR.L,1,5
WTB.L,1,5
RR.L,2,5
BA.L,3,5
BAB.L,3,5
BGEO.L,3,5
CNA.L,3,5
III.L,3,5
AAL.L,4,5
ABDN.L,4,5
ABF.L,4,5
ADM.L,4,5
BBOX.L,4,5
BKG.L,4,5
BLND.L,4,5
BRBY.L,4,5
BTRW.L,4,5
CRDA.L,4,5
DCC.L,4,5
DGE.L,4,5
EDV.L,4,5
ENT.L,4,5
FRES.L,4,5
ITRK.L,4,5
JD.L,4,5
KGF.L,4,5
LAND.L,4,5
LGEN.L,4,5
LMP.L,4,5
MNDI.L,4,5
PRU.L,4,5
PSN.L,4,5
RIO.L,4,5
RKT.L,4,5
RMV.L,4,5
RTO.L,4,5
SDR.L,4,5
SGRO.L,4,5
SMT.L,4,5
SN.L,4,5
SPX.L,4,5
STJ.L,4,5
VOD.L,4,5
AAF.L,5,5
AV.L,5,5
AZN.L,5,5
BARC.L,5,5
BEZ.L,5,5
BP.L,5,5
CCEP.L,5,5
CPG.L,5,5
DPLM.L,5,5
GLEN.L,5,5
HSBA.L,5,5
IAG.L,5,5
IHG.L,5,5
IMB.L,5,5
IMI.L,5,5
LLOY.L,5,5
MKS.L,5,5
NWG.L,5,5
PSON.L,5,5
REL.L,5,5
SGE.L,5,5
SHEL.L,5,5
STAN.L,5,5
