k,Ticker,Cluster
2,AAF.L,2
2,AAL.L,1
2,ABDN.L,1
2,ABF.L,2
2,ADM.L,2
2,ALW.L,2
2,ANTO.L,2
2,AUTO.L,2
2,AV.L,2
2,AZN.L,2
2,BA.L,2
2,BAB.L,2
2,BARC.L,2
2,BATS.L,2
2,BBOX.L,1
2,BEZ.L,2
2,BGEO.L,2
2,BKG.L,1
2,BLND.L,1
2,BNZL.L,2
2,BP.L,2
2,BRBY.L,1
2,BT-A.L,1
2,BTRW.L,1
2,CCEP.L,2
2,CCH.L,2
2,CNA.L,2
2,CPG.L,2
2,CRDA.L,1
2,CTEC.L,2
2,DCC.L,1
2,DGE.L,1
2,DPLM.L,2
2,EDV.L,2
2,ENT.L,1
2,EXPN.L,2
2,FCIT.L,2
2,FRES.L,2
2,GAW.L,2
2,GLEN.L,1
2,GSK.L,2
2,HLMA.L,2
2,HSBA.L,2
2,HSX.L,2
2,HWDN.L,2
2,IAG.L,2
2,ICG.L,2
2,IGG.L,2
2,IHG.L,2
2,III.L,2
2,IMB.L,2
2,IMI.L,2
2,INF.L,2
2,ITRK.L,1
2,JD.L,1
2,KGF.L,1
2,LAND.L,1
2,LGEN.L,1
2,LLOY.L,2
2,LMP.L,1
2,LSEG.L,2
2,MKS.L,2
2,MNDI.L,1
2,MNG.L,2
2,MRO.L,2
2,NG.L,2
2,NWG.L,2
2,NXT.L,2
2,PCT.L,2
2,PRU.L,1
2,PSH.L,2
2,PSN.L,1
2,PSON.L,2
2,REL.L,2
2,RIO.L,2
2,RKT.L,1
2,RMV.L,2
2,RR.L,2
2,RTO.L,1
2,SBRY.L,2
2,SDR.L,1
2,SGE.L,2
2,SGRO.L,1
2,SHEL.L,2
2,SMIN.L,2
2,SMT.L,1
2,SN.L,1
2,SPX.L,1
2,SSE.L,2
2,STAN.L,2
2,STJ.L,1
2,SVT.L,1
2,TSCO.L,2
2,ULVR.L,2
2,UU.L,2
2,VOD.L,1
2,WEIR.L,2
2,WTB.L,1
3,AAF.L,2
3,AAL.L,3
3,ABDN.L,3
3,ABF.L,1
3,ADM.L,1
3,ALW.L,2
3,ANTO.L,2
3,AUTO.L,2
3,AV.L,2
3,AZN.L,1
3,BA.L,2
3,BAB.L,2
3,BARC.L,2
3,BATS.L,1
3,BBOX.L,3
3,BEZ.L,2
3,BGEO.L,2
3,BKG.L,1
3,BLND.L,3
3,BNZL.L,2
3,BP.L,1
3,BRBY.L,3
3,BT-A.L,1
3,BTRW.L,3
3,CCEP.L,2
3,CCH.L,2
3,CNA.L,2
3,CPG.L,2
3,CRDA.L,3
3,CTEC.L,2
3,DCC.L,3
3,DGE.L,3
3,DPLM.L,2
3,EDV.L,2
3,ENT.L,3
3,EXPN.L,2
3,FCIT.L,2
3,FRES.L,2
3,GAW.L,2
3,GLEN.L,3
3,GSK.L,1
3,HLMA.L,1
3,HSBA.L,2
3,HSX.L,2
3,HWDN.L,1
3,IAG.L,2
3,ICG.L,1
3,IGG.L,2
3,IHG.L,2
3,III.L,2
3,IMB.L,2
3,IMI.L,2
3,INF.L,2
3,ITRK.L,3
3,JD.L,3
3,KGF.L,3
3,LAND.L,3
3,LGEN.L,3
3,LLOY.L,2
3,LMP.L,3
3,LSEG.L,2
3,MKS.L,2
3,MNDI.L,3
3,MNG.L,2
3,MRO.L,1
3,NG.L,1
3,NWG.L,2
3,NXT.L,2
3,PCT.L,2
3,PRU.L,3
3,PSH.L,2
3,PSN.L,3
3,PSON.L,2
3,REL.L,2
3,RIO.L,3
3,RKT.L,1
3,RMV.L,1
3,RR.L,2
3,RTO.L,3
3,SBRY.L,1
3,SDR.L,3
3,SGE.L,2
3,SGRO.L,3
3,SHEL.L,1
3,SMIN.L,2
3,SMT.L,3
3,SN.L,3
3,SPX.L,3
3,SSE.L,2
3,STAN.L,2
3,STJ.L,3
3,SVT.L,3
3,TSCO.L,2
3,ULVR.L,2
3,UU.L,2
3,VOD.L,3
3,WEIR.L,2
3,WTB.L,3
4,AAF.L,1
4,AAL.L,2
4,ABDN.L,2
4,ABF.L,3
4,ADM.L,3
4,ALW.L,4
4,ANTO.L,4
4,AUTO.L,4
4,AV.L,4
4,AZN.L,3
4,BA.L,4
4,BAB.L,4
4,BARC.L,4
4,BATS.L,1
4,BBOX.L,2
4,BEZ.L,4
4,BGEO.L,4
4,BKG.L,1
4,BLND.L,2
4,BNZL.L,4
4,BP.L,3
4,BRBY.L,2
4,BT-A.L,1
4,BTRW.L,2
4,CCEP.L,4
4,CCH.L,4
4,CNA.L,4
4,CPG.L,4
4,CRDA.L,2
4,CTEC.L,4
4,DCC.L,2
4,DGE.L,2
4,DPLM.L,4
4,EDV.L,1
4,ENT.L,2
4,EXPN.L,4
4,FCIT.L,4
4,FRES.L,1
4,GAW.L,4
4,GLEN.L,3
4,GSK.L,1
4,HLMA.L,1
4,HSBA.L,4
4,HSX.L,4
4,HWDN.L,3
4,IAG.L,4
4,ICG.L,3
4,IGG.L,4
4,IHG.L,4
4,III.L,4
4,IMB.L,4
4,IMI.L,4
4,INF.L,4
4,ITRK.L,2
4,JD.L,2
4,KGF.L,2
4,LAND.L,2
4,LGEN.L,2
4,LLOY.L,4
4,LMP.L,2
4,LSEG.L,4
4,MKS.L,4
4,MNDI.L,2
4,MNG.L,1
4,MRO.L,3
4,NG.L,1
4,NWG.L,4
4,NXT.L,4
4,PCT.L,4
4,PRU.L,2
4,PSH.L,4
4,PSN.L,2
4,PSON.L,4
4,REL.L,4
4,RIO.L,1
4,RKT.L,3
4,RMV.L,1
4,RR.L,4
4,RTO.L,2
4,SBRY.L,3
4,SDR.L,2
4,SGE.L,4
4,SGRO.L,2
4,SHEL.L,3
4,SMIN.L,4
4,SMT.L,2
4,SN.L,2
4,SPX.L,2
4,SSE.L,3
4,STAN.L,4
4,STJ.L,2
4,SVT.L,1
4,TSCO.L,4
4,ULVR.L,4
4,UU.L,1
4,VOD.L,2
4,WEIR.L,4
4,WTB.L,1
5,AAF.L,2
5,AAL.L,4
5,ABDN.L,4
5,ABF.L,2
5,ADM.L,5
5,ALW.L,1
5,ANTO.L,1
5,AUTO.L,1
5,AV.L,1
5,AZN.L,5
5,BA.L,1
5,BAB.L,1
5,BARC.L,1
5,BATS.L,2
5,BBOX.L,4
5,BEZ.L,1
5,BGEO.L,1
5,BKG.L,2
5,BLND.L,4
5,BNZL.L,1
5,BP.L,5
5,BRBY.L,4
5,BT-A.L,2
5,BTRW.L,4
5,CCEP.L,1
5,CCH.L,1
5,CNA.L,1
5,CPG.L,1
5,CRDA.L,4
5,CTEC.L,1
5,DCC.L,4
5,DGE.L,4
5,DPLM.L,1
5,EDV.L,2
5,ENT.L,4
5,EXPN.L,1
5,FCIT.L,1
5,FRES.L,2
5,GAW.L,1
5,GLEN.L,2
5,GSK.L,3
5,HLMA.L,2
5,HSBA.L,1
5,HSX.L,1
5,HWDN.L,5
5,IAG.L,1
5,ICG.L,5
5,IGG.L,2
5,IHG.L,1
5,III.L,1
5,IMB.L,1
5,IMI.L,1
5,INF.L,1
5,ITRK.L,4
5,JD.L,4
5,KGF.L,4
5,LAND.L,4
5,LGEN.L,4
5,LLOY.L,1
5,LMP.L,4
5,LSEG.L,1
5,MKS.L,1
5,MNDI.L,4
5,MNG.L,2
5,MRO.L,2
5,NG.L,3
5,NWG.L,1
5,NXT.L,1
5,PCT.L,1
5,PRU.L,4
5,PSH.L,1
5,PSN.L,4
5,PSON.L,1
5,REL.L,1
5,RIO.L,4
5,RKT.L,5
5,RMV.L,2
5,RR.L,1
5,RTO.L,4
5,SBRY.L,5
5,SDR.L,4
5,SGE.L,1
5,SGRO.L,4
5,SHEL.L,5
5,SMIN.L,1
5,SMT.L,4
5,SN.L,4
5,SPX.L,4
5,SSE.L,3
5,STAN.L,1
5,STJ.L,4
5,SVT.L,3
5,TSCO.L,1
5,ULVR.L,1
5,UU.L,3
5,VOD.L,4
5,WEIR.L,1
5,WTB.L,3
6,AAF.L,2
6,AAL.L,4
6,ABDN.L,6
6,ABF.L,2
6,ADM.L,5
6,ALW.L,1
6,ANTO.L,1
6,AUTO.L,1
6,AV.L,1
6,AZN.L,5
6,BA.L,1
6,BAB.L,1
6,BARC.L,1
6,BATS.L,2
6,BBOX.L,6
6,BEZ.L,1
6,BGEO.L,1
6,BKG.L,4
6,BLND.L,4
6,BNZL.L,1
6,BP.L,5
6,BRBY.L,4
6,BT-A.L,2
6,BTRW.L,6
6,CCEP.L,1
6,CCH.L,1
6,CNA.L,1
6,CPG.L,1
6,CRDA.L,6
6,CTEC.L,1
6,DCC.L,4
6,DGE.L,6
6,DPLM.L,1
6,EDV.L,2
6,ENT.L,6
6,EXPN.L,1
6,FCIT.L,1
6,FRES.L,2
6,GAW.L,1
6,GLEN.L,2
6,GSK.L,3
6,HLMA.L,2
6,HSBA.L,1
6,HSX.L,1
6,HWDN.L,5
6,IAG.L,1
6,ICG.L,5
6,IGG.L,2
6,IHG.L,1
6,III.L,1
6,IMB.L,1
6,IMI.L,1
6,INF.L,1
6,ITRK.L,4
6,JD.L,6
6,KGF.L,4
6,LAND.L,6
6,LGEN.L,6
6,LLOY.L,1
6,LMP.L,4
6,LSEG.L,1
6,MKS.L,1
6,MNDI.L,6
6,MNG.L,2
6,MRO.L,2
6,NG.L,3
6,NWG.L,1
6,NXT.L,1
6,PCT.L,1
6,PRU.L,6
6,PSH.L,1
6,PSN.L,6
6,PSON.L,1
6,REL.L,1
6,RIO.L,6
6,RKT.L,4
6,RMV.L,2
6,RR.L,1
6,RTO.L,4
6,SBRY.L,5
6,SDR.L,6
6,SGE.L,1
6,SGRO.L,6
6,SHEL.L,5
6,SMIN.L,1
6,SMT.L,4
6,SN.L,6
6,SPX.L,6
6,SSE.L,3
6,STAN.L,1
6,STJ.L,6
6,SVT.L,3
6,TSCO.L,1
6,ULVR.L,1
6,UU.L,3
