Ticker,Cluster
ABDN.L,1
CRDA.L,1
DGE.L,1
ENT.L,1
JD.L,1
MNDI.L,1
PRU.L,1
RIO.L,1
RTO.L,1
SDR.L,1
SN.L,1
SPX.L,1
VOD.L,1
ALW.L,2
AUTO.L,2
DPLM.L,2
EXPN.L,2
FCIT.L,2
IHG.L,2
III.L,2
MKS.L,2
PCT.L,2
PSH.L,2
TSCO.L,2
BNZL.L,3
GLEN.L,3
RKT.L,3
STJ.L,3
AAF.L,4
ANTO.L,4
AV.L,4
BAB.L,4
BARC.L,4
EDV.L,4
FRES.L,4
HSBA.L,4
IAG.L,4
IMB.L,4
LLOY.L,4
MNG.L,4
NWG.L,4
RR.L,4
SMIN.L,4
STAN.L,4
WEIR.L,4
ABF.L,5
BATS.L,5
BP.L,5
BT-A.L,5
HWDN.L,5
ICG.L,5
RMV.L,5
CTEC.L,6
MRO.L,6
REL.L,6
SGE.L,6
AZN.L,7
BA.L,7
BEZ.L,7
BGEO.L,7
CCEP.L,7
CNA.L,7
CPG.L,7
HSX.L,7
INF.L,7
SHEL.L,7
AAL.L,8
BBOX.L,8
BKG.L,8
BLND.L,8
BRBY.L,8
BTRW.L,8
DCC.L,8
ITRK.L,8
KGF.L,8
LAND.L,8
LGEN.L,8
LMP.L,8
PSN.L,8
SGRO.L,8
SMT.L,8
WTB.L,8
ADM.L,9
CCH.L,9
GAW.L,9
HLMA.L,9
IGG.L,9
IMI.L,9
LSEG.L,9
NXT.L,9
PSON.L,9
SBRY.L,9
ULVR.L,9
GSK.L,10
NG.L,10
SSE.L,10
SVT.L,10
UU.L,10
